year,month,day,dayoftheweek,time,type1,type2,type3,title,eventtitle,prefecture,place,with,info
2020,2,15,土,11:30,特典会,CD,シングル,I・LOVE・YOU?,バレンタイン・ティー・パーティー,東京,某所,ゲーマーズ,
2020,2,15,土,14:30,特典会,CD,シングル,I・LOVE・YOU?,バレンタイン・ティー・パーティー,東京,某所,ゲーマーズ,
2020,3,8,日,12:00,特典会,CD,シングル,I・LOVE・YOU?,I・LOVE・YUI?を伝える会,愛知,某所,アニメイト,中止
2020,3,8,日,16:30,特典会,CD,シングル,I・LOVE・YOU?,I・LOVE・YUI?を伝える会,大阪,ゲーマーズなんば店,ゲーマーズ,中止
2020,3,15,日,12:30,特典会,CD,シングル,I・LOVE・YOU?,I・LOVE・YUI?を伝える会,東京,某所,アニメイト,中止
2020,3,15,日,14:30,特典会,CD,シングル,I・LOVE・YOU?,I・LOVE・YUI?を伝える会,東京,某所,アニメイト,中止
2020,3,15,日,16:30,特典会,CD,シングル,I・LOVE・YOU?,I・LOVE・YUI?を伝える会,東京,某所,ゲーマーズ・とらのあな,中止
2020,5,5,火,,ライブ,ワンマン,,#LOVEcall,,,TACHIKAWA STAGE GARDEN,,中止
2020,5,6,水,,ライブ,ワンマン,,#LOVEcall,,,TACHIKAWA STAGE GARDEN,,中止
2020,5,9,土,,歩み,,,個人Twitterアカウントと個人YouTubeチャンネルを開設,,,,,
2020,5,23,土,,ライブ,ワンマン,,#LOVEcall,,,ロームシアター京都,,中止
2020,5,24,日,,ライブ,ワンマン,,#LOVEcall,,,ロームシアター京都,,中止
2020,5,31,日,,ライブ,ワンマン,,#LOVEcall,,,一宮市民会館,,中止
2020,6,10,水,,リリース,CD,シングル,ハピネス*センセーション,,,,,
2020,6,14,日,,ライブ,ワンマン,,#LOVEcall,,,東京ガーデンシアター,,中止
2020,6,28,日,15:00,特典会,CD,シングル,ハピネス*センセーション,,オンライン,YouTube,,無料配信
2020,8,15,土,,配信,有料配信,,小倉唯オンラインバースデーパーティー2020～ゆいとおうちクッキング♪～,,,オンライン,,
2020,12,9,水,,リリース,CD,配信,Very Merry Happy Christmas,,,,,
2020,12,24,木,,ライブ,ワンマン,,Winter Twinkle Magic,,,オンライン,,
2020,12,25,金,,リリース,書籍,フォトブック,Yui-can!,,,,主婦の友社,
2020,12,26,土,XX:XX,特典会,書籍,写真集,Yui-can!,オンラインサイン会,オンライン,オンライン,アニメイト・ゲーマーズ・とらのあな,
2020,12,26,土,XX:XX,特典会,書籍,写真集,Yui-can!,オンライントークショー,オンライン,オンライン,主婦の友インフォス,
2021,3,7,日,,イベント,社員総会,,ゆいこむ ONLINE PROGRAM,昼公演,,オンライン,,
2021,3,7,日,,イベント,社員総会,,ゆいこむ ONLINE PROGRAM,夜公演,,オンライン,,
2021,3,31,水,,リリース,CD,シングル,Clear Morning,,,,,
2021,4,1,木,,歩み,事務所移籍,,アトミックモンキーに移籍,,,,,
2021,4,17,土,15:00,特典会,CD,シングル,Clear Morning,,オンライン,YouTube,,無料配信
2021,4,25,日,10:00,特典会,CD,シングル,Clear Morning,,オンライン,オンライン,ゲーマーズ・とらのあな,
2021,4,25,日,11:15,特典会,CD,シングル,Clear Morning,,オンライン,オンライン,アニメイト,
2021,7,4,日,,ライブ,ワンマン,,#Re?LOVEcall,昼公演,,パシフィコ横浜,,
2021,7,4,日,,ライブ,ワンマン,,#Re?LOVEcall,夜公演,,パシフィコ横浜,,
2021,7,27,火,,リリース,書籍,写真集,Yui colore...,,,,主婦の友社,
2021,7,31,土,XX:XX,特典会,書籍,写真集,Yui colore…,写真集オンライン解説,オンライン,Zoom,アニメイト・ゲーマーズ・とらのあな,
2021,8,1,日,XX:XX,特典会,書籍,写真集,Yui colore…,オンラインサイン会,オンライン,オンライン,HMV&BOOKS,
2021,8,1,日,XX:XX,特典会,書籍,写真集,Yui colore…,オンライントークショー,オンライン,オンライン,主婦の友インフォス,
2021,8,11,水,,リリース,CD,シングル,Fightin★Pose,,,,,
2021,8,15,日,14:00,特典会,CD,シングル,Fightin★Pose,バースデー記念生配信 ?ゆいちゃんはくじけない！?,オンライン,YouTube,,無料配信
2021,9,4,土,12:00,特典会,CD,シングル,Fightin★Pose,オンライン個別トーク会,オンライン,WithLIVE,アニメイト・ゲーマーズ・とらのあな,
2021,9,11,土,12:00,特典会,CD,シングル,Fightin★Pose,オンライン個別トーク会,オンライン,WithLIVE,アニメイト・ゲーマーズ・とらのあな,
2021,9,11,土,12:30,特典会,CD,シングル,Fightin★Pose,,東京,某所,アニメイト,中止
2021,9,11,土,14:30,特典会,CD,シングル,Fightin★Pose,,東京,某所,アニメイト,中止
2021,9,11,土,16:30,特典会,CD,シングル,Fightin★Pose,,東京,某所,ゲーマーズ・とらのあな,中止
2021,11,20,土,,ライブ,フェス,,ANIMAX MUSIX 2021,,,横浜アリーナ,,
2021,12,8,水,,リリース,DVD,,小倉唯 LIVE 2020-2021「LOVE & Magic」,,,,,
2021,12,11,土,,イベント,社員総会,,Twinkle Holy Day♪,昼公演,,神奈川県民ホール,,
